File below(listA) below(listI) below(treeA) below(treeI) below(regexA) below(regexI) below(treeOA) below(treeOI) below(regexOA) below(regexOI) above(listA) above(listI) above(treeA) above(treeI) above(regexA) above(regexI) above(treeOA) above(treeOI) above(regexOA) above(regexOI)
set_0_sites_1_iterations_10_result.csv 9 9 10 10 9 9 0 0 9 9 0 0 0 0 1 1 2 2 1 1
set_0_sites_1_iterations_100_result.csv 18 18 84 84 99 99 0 0 99 99 82 82 16 1 1 1 15 15 1 1
set_0_sites_1_iterations_1000_result.csv 0 0 0 0 898 382 0 0 290 290 1000 1000 1000 1000 102 102 140 140 28 28
set_0_sites_2_iterations_10_result.csv 9 10 9 9 9 9 0 0 9 10 1 0 1 1 1 1 7 7 1 0
set_0_sites_2_iterations_100_result.csv 99 99 99 99 100 100 45 45 99 99 0 0 0 0 0 0 0 0 1 1
set_0_sites_2_iterations_1000_result.csv 427 427 470 470 990 990 471 0 995 992 573 1 1 1 10 10 529 529 5 5
set_0_sites_3_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 1 10 10 10 0 10 10
set_0_sites_3_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 2 100 100
set_0_sites_3_iterations_1000_result.csv 996 994 999 999 999 999 669 0 875 875 4 4 1 0 1 1 4 4 125 124
set_0_sites_5_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 1 10 10 10 0 10 10
set_0_sites_5_iterations_100_result.csv 0 0 89 0 0 0 99 2 0 0 100 1 11 1 100 100 1 0 100 100
set_0_sites_5_iterations_1000_result.csv 0 0 0 0 0 0 830 130 0 505 1000 1000 1000 979 1000 1000 170 10 1000 495
set_0_sites_10_iterations_10_result.csv 0 0 0 10 0 0 0 0 0 0 10 10 2 0 10 10 10 0 10 10
set_0_sites_10_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 1 100 100
set_0_sites_10_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 107 1000 1000 1000 25 1000 1000
set_0_sites_20_iterations_10_result.csv 0 0 0 10 0 0 0 0 0 0 10 10 10 0 10 10 10 3 10 10
set_0_sites_20_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 1 100 100 100 0 100 100
set_0_sites_20_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
set_0_sites_30_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 0 10 10 10 10 10 10
set_0_sites_30_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_0_sites_30_iterations_1000_result.csv 0 0 0 0 0 717 0 0 0 0 1000 1000 1000 3 1000 262 1000 27 1000 1000
set_0_sites_100_iterations_10_result.csv 0 0 0 0 0 0 0 0 0 0 10 10 10 10 10 10 10 10 10 10
set_0_sites_100_iterations_100_result.csv 0 0 0 0 0 0 0 0 0 0 100 100 100 100 100 100 100 100 100 100
set_0_sites_100_iterations_1000_result.csv 0 0 0 0 0 0 0 0 0 0 1000 1000 1000 1000 1000 1000 1000 1000 1000 1000
set_1_sites_1_iterations_10_result.csv 10 10 10 9 10 10 10 10 10 10 0 0 0 1 0 0 0 0 0 0
set_1_sites_1_iterations_100_result.csv 100 100 100 99 100 100 100 99 100 100 0 0 0 1 0 0 0 0 0 0
set_1_sites_1_iterations_1000_result.csv 1000 1000 1000 912 1000 1000 1000 914 1000 1000 0 0 0 1 0 0 0 1 0 0
set_1_sites_2_iterations_10_result.csv 10 10 10 9 10 10 10 9 10 10 0 0 0 1 0 0 0 0 0 0
set_1_sites_2_iterations_100_result.csv 100 100 100 99 100 100 100 100 100 100 0 0 0 0 0 0 0 0 0 0
set_1_sites_2_iterations_1000_result.csv 1000 1000 1000 999 1000 1000 1000 1000 1000 1000 0 0 0 0 0 0 0 0 0 0
set_1_sites_3_iterations_10_result.csv 10 10 10 10 10 10 10 10 10 10 0 0 0 0 0 0 0 0 0 0
set_1_sites_3_iterations_100_result.csv 100 100 100 100 100 100 100 100 100 100 0 0 0 0 0 0 0 0 0 0
set_1_sites_3_iterations_1000_result.csv 0 0 0 1000 0 0 0 0 0 0 1000 1000 638 0 1000 1000 1000 10 1000 1000
set_1_sites_5_iterations_10_result.csv 0 0 0 9 0 0 0 0 0 0 10 10 10 1 10 10 10 0 10 10
